Region,State,Area,CRSI,Governance,Risk,Built Environment,Society,Natural Environment
,Illinois ,LaSalle,5.155,0.706,0.301,0.686,0.566,0.511
,Illinois ,Lawrence,3.478,0.601,0.162,0.279,0.49,0.499
,Illinois ,Lee,9.234,0.667,0.128,0.523,0.538,0.537
,Illinois ,Livingston,10.658,0.691,0.13,0.558,0.593,0.548
,Illinois ,Logan,4.057,0.688,0.213,0.369,0.531,0.5
,Illinois ,Macon,3.549,0.625,0.205,0.468,0.472,0.403
,Illinois ,Macoupin,8.944,0.691,0.132,0.511,0.619,0.46
,Illinois ,Madison,1.722,0.706,0.696,0.66,0.497,0.391
,Illinois ,Marion,6.51,0.746,0.141,0.404,0.501,0.475
,Illinois ,Marshall,4.795,0.659,0.183,0.351,0.634,0.467
,Illinois ,Mason,4.782,0.653,0.15,0.342,0.505,0.487
,Illinois ,Massac,2.049,0.516,0.216,0.296,0.436,0.494
,Illinois ,McDonough,5.075,0.621,0.153,0.434,0.43,0.508
,Illinois ,McHenry,1.925,0.662,0.612,0.574,0.604,0.432
,Illinois ,McLean,6.167,0.654,0.203,0.677,0.469,0.484
,Illinois ,Menard,6.054,0.712,0.126,0.319,0.513,0.492
,Illinois ,Mercer,3.641,0.674,0.287,0.351,0.684,0.517
,Illinois ,Monroe,3.24,0.635,0.242,0.422,0.563,0.408
,Illinois ,Montgomery,7.197,0.657,0.159,0.449,0.646,0.52
,Illinois ,Morgan,2.881,0.662,0.285,0.407,0.559,0.429
,Illinois ,Moultrie,8.786,0.692,0.098,0.334,0.513,0.551
,Illinois ,Ogle,4.523,0.661,0.274,0.58,0.531,0.523
,Illinois ,Peoria,2.09,0.65,0.437,0.424,0.522,0.508
,Illinois ,Perry,5.875,0.675,0.142,0.354,0.607,0.446
,Illinois ,Piatt,6.937,0.719,0.13,0.4,0.558,0.445
,Illinois ,Pike,6.633,0.72,0.149,0.404,0.538,0.503
,Illinois ,Pope,4.759,0.621,0.225,0.272,0.529,0.796
,Illinois ,Pulaski,0.608,0.697,0.222,0.212,0.239,0.471
,Illinois ,Putnam,1.377,0.767,0.508,0.346,0.484,0.422
,Illinois ,Randolph,4.504,0.617,0.199,0.434,0.65,0.414
,Illinois ,Richland,4.979,0.705,0.116,0.29,0.458,0.465
,Illinois ,Rock Island,2.272,0.643,0.333,0.411,0.489,0.456
,Illinois ,Saline,3.026,0.555,0.202,0.343,0.416,0.556
,Illinois ,Sangamon,4.22,0.654,0.286,0.618,0.555,0.452
,Illinois ,Schuyler,5.259,0.581,0.11,0.286,0.536,0.479
,Illinois ,Scott,4.954,0.813,0.134,0.267,0.461,0.487
,Illinois ,Shelby,5.994,0.636,0.156,0.39,0.57,0.531
,Illinois ,St. Clair,1.077,0.679,0.728,0.506,0.464,0.364
,Illinois ,Stark,5.463,0.838,0.204,0.283,0.59,0.577
,Illinois ,Stephenson,5.137,0.698,0.159,0.355,0.557,0.46
,Illinois ,Tazewell,2.253,0.659,0.534,0.549,0.567,0.507
,Illinois ,Union,3.742,0.489,0.227,0.356,0.604,0.652
,Illinois ,Vermilion,3.786,0.552,0.222,0.464,0.451,0.571
,Illinois ,Wabash,2.836,0.631,0.151,0.29,0.395,0.459
,Illinois ,Warren,7.124,0.761,0.139,0.321,0.517,0.581
,Illinois ,Washington,4.753,0.764,0.184,0.402,0.513,0.433
,Illinois ,Wayne,4.119,0.64,0.151,0.342,0.537,0.409
,Illinois ,White,2.595,0.55,0.147,0.322,0.414,0.416
,Illinois ,Whiteside,5.791,0.641,0.153,0.42,0.471,0.545
,Illinois ,Will,2.081,0.678,0.779,0.776,0.576,0.484
,Illinois ,Williamson,3.088,0.609,0.328,0.461,0.557,0.545
,Illinois ,Winnebago,1.408,0.674,0.631,0.541,0.481,0.379
,Illinois ,Woodford,4.25,0.668,0.242,0.449,0.641,0.442
,Indiana,Indiana,5.153,0.659,0.219,0.36,0.57,0.452
,Indiana,Adams,4.932,0.607,0.118,0.315,0.545,0.427
,Indiana,Allen,1.474,0.6,0.587,0.531,0.554,0.381
,Indiana,Bartholomew,1.937,0.605,0.34,0.322,0.552,0.466
,Indiana,Benton,13.29,0.682,0.069,0.341,0.609,0.506
,Indiana,Blackford,4.177,0.666,0.111,0.228,0.559,0.402
,Indiana,Boone,3.272,0.714,0.318,0.414,0.565,0.506
,Indiana,Brown,8.511,0.546,0.095,0.348,0.585,0.572
,Indiana,Carroll,6.378,0.69,0.146,0.353,0.592,0.507
,Indiana,Cass,6.771,0.691,0.108,0.304,0.518,0.499
,Indiana,Clark,0.98,0.67,0.572,0.338,0.484,0.4
,Indiana,Clay,5.698,0.673,0.149,0.307,0.646,0.477
,Indiana,Clinton,7.123,0.727,0.13,0.326,0.599,0.5
,Indiana,Crawford,2.185,0.663,0.191,0.191,0.525,0.442
,Indiana,Daviess,5.299,0.594,0.16,0.369,0.671,0.459
,Indiana,Dearborn,3.413,0.714,0.237,0.33,0.606,0.432
,Indiana,Decatur,5.217,0.642,0.176,0.353,0.655,0.49
,Indiana,DeKalb,4.572,0.698,0.197,0.404,0.553,0.458
,Indiana,Delaware,2.322,0.664,0.216,0.316,0.485,0.391
,Indiana,Dubois,4.213,0.653,0.241,0.45,0.691,0.405
,Indiana,Elkhart,1.449,0.75,0.572,0.43,0.485,0.408
,Indiana,Fayette,4.939,0.712,0.106,0.24,0.501,0.451
,Indiana,Floyd,0.681,0.637,0.539,0.286,0.538,0.309
,Indiana,Fountain,8.493,0.688,0.08,0.294,0.5,0.497
,Indiana,Franklin,7.832,0.722,0.126,0.311,0.693,0.478
,Indiana,Fulton,8.504,0.545,0.089,0.329,0.653,0.501
,Indiana,Gibson,3.268,0.62,0.228,0.384,0.582,0.421
,Indiana,Grant,2.948,0.634,0.2,0.377,0.506,0.378
,Indiana,Greene,6.208,0.542,0.115,0.379,0.558,0.494
,Indiana,Hamilton,1.517,0.604,0.453,0.454,0.577,0.323
,Indiana,Hancock,2.055,0.686,0.406,0.376,0.616,0.408
,Indiana,Harrison,4.408,0.601,0.135,0.353,0.537,0.405
,Indiana,Hendricks,2.11,0.685,0.477,0.475,0.583,0.43
,Indiana,Henry,5.095,0.731,0.146,0.324,0.562,0.427
,Indiana,Howard,1.823,0.647,0.268,0.249,0.525,0.43
,Indiana,Huntington,7.416,0.654,0.121,0.396,0.611,0.452
,Indiana,Jackson,4.188,0.607,0.189,0.355,0.601,0.479
,Indiana,Jasper,11.749,0.716,0.102,0.479,0.612,0.484
,Indiana,Jay,4.631,0.705,0.118,0.302,0.529,0.378
,Indiana,Jefferson,6.849,0.729,0.133,0.335,0.539,0.526
,Indiana,Jennings,5.77,0.56,0.113,0.337,0.558,0.476
,Indiana,Johnson,1.749,0.659,0.513,0.387,0.592,0.475
,Indiana,Knox,3.804,0.625,0.205,0.383,0.57,0.449
,Indiana,Kosciusko,4.578,0.74,0.251,0.468,0.548,0.499
,Indiana,LaGrange,7.024,0.552,0.097,0.411,0.515,0.459
,Indiana,Lake,1.023,0.678,0.777,0.602,0.467,0.265
,Indiana,LaPorte,2.861,0.772,0.296,0.462,0.504,0.356
,Indiana,Lawrence,6.492,0.652,0.131,0.367,0.606,0.463
,Indiana,Madison,2.851,0.669,0.218,0.346,0.524,0.398
,Indiana,Marion,1.009,0.625,0.723,0.667,0.444,0.21
,Indiana,Marshall,5.834,0.599,0.164,0.44,0.615,0.497
,Indiana,Martin,5.946,0.577,0.129,0.3,0.576,0.571
,Indiana,Miami,6.795,0.743,0.115,0.283,0.563,0.485
,Indiana,Monroe,2.219,0.614,0.361,0.417,0.439,0.542
,Indiana,Montgomery,9.013,0.667,0.109,0.392,0.63,0.483
,Indiana,Morgan,4.86,0.664,0.213,0.465,0.566,0.493
,Indiana,Newton,14.854,0.784,0.07,0.372,0.556,0.508
,Indiana,Noble,4.86,0.671,0.163,0.377,0.48,0.503
,Indiana,Ohio,4.407,0.573,0.124,0.241,0.62,0.446
,Indiana,Orange,4.994,0.53,0.126,0.287,0.654,0.464
,Indiana,Owen,3.747,0.579,0.181,0.331,0.554,0.489
,Indiana,Parke,9.701,0.639,0.08,0.326,0.573,0.495
,Indiana,Perry,5.3,0.727,0.163,0.269,0.6,0.526
,Indiana,Pike,5.84,0.674,0.132,0.327,0.571,0.468
,Indiana,Porter,1.652,0.685,0.615,0.544,0.564,0.377
,Indiana,Posey,4.324,0.737,0.198,0.343,0.602,0.434
,Indiana,Pulaski,12.135,0.669,0.074,0.342,0.647,0.47
,Indiana,Putnam,8.358,0.62,0.116,0.406,0.618,0.514
,Indiana,Randolph,7.661,0.648,0.093,0.311,0.575,0.465
,Indiana,Ripley,8.659,0.772,0.157,0.348,0.78,0.527
,Indiana,Rush,6.921,0.696,0.143,0.296,0.743,0.478
,Indiana,Scott,3.054,0.696,0.161,0.233,0.497,0.452
,Indiana,Shelby,4.544,0.683,0.186,0.323,0.599,0.487
,Indiana,Spencer,5.657,0.672,0.167,0.375,0.655,0.455
,Indiana,St. Joseph,1.575,0.673,0.513,0.48,0.473,0.403
,Indiana,Starke,5.839,0.706,0.105,0.344,0.469,0.418
,Indiana,Steuben,5.484,0.646,0.158,0.404,0.599,0.443
,Indiana,Sullivan,7.415,0.636,0.112,0.391,0.574,0.46
,Indiana,Switzerland,4.118,0.642,0.118,0.295,0.46,0.435
,Indiana,Tippecanoe,2.321,0.589,0.344,0.469,0.501,0.457
,Indiana,Tipton,10.332,0.616,0.079,0.318,0.696,0.454
,Indiana,Union,5.558,0.681,0.094,0.244,0.465,0.491
,Indiana,Vanderburgh,0.556,0.603,0.752,0.278,0.549,0.355
,Indiana,Vermillion,3.657,0.684,0.181,0.288,0.537,0.467
,Indiana,Vigo,2.009,0.622,0.332,0.357,0.525,0.442
,Indiana,Wabash,9.771,0.67,0.099,0.365,0.667,0.475
,Indiana,Warren,8.347,0.689,0.102,0.31,0.541,0.546
,Indiana,Warrick,2.817,0.672,0.324,0.404,0.632,0.423
,Indiana,Washington,5.5,0.637,0.119,0.313,0.571,0.433
,Indiana,Wayne,3.372,0.664,0.184,0.319,0.534,0.422
,Indiana,Wells,5.983,0.674,0.129,0.308,0.611,0.457
,Indiana,White,8.785,0.67,0.12,0.447,0.587,0.502
,Indiana,Whitley,4.188,0.694,0.183,0.324,0.573,0.455
,Michigan,Michigan,5.939,0.705,0.177,0.412,0.492,0.418
,Michigan,Alcona,7.999,0.702,0.086,0.347,0.474,0.457
,Michigan,Alger,6.418,0.583,0.104,0.301,0.602,0.473
,Michigan,Allegan,6.546,0.65,0.135,0.51,0.555,0.372
,Michigan,Alpena,6.39,0.729,0.131,0.354,0.516,0.485
,Michigan,Antrim,5.528,0.728,0.129,0.387,0.499,0.395
,Michigan,Arenac,10.083,0.732,0.066,0.369,0.492,0.389
,Michigan,Baraga,3.106,0.619,0.255,0.38,0.555,0.48
,Michigan,Barry,10.447,0.67,0.068,0.447,0.487,0.372
,Michigan,Bay,3.44,0.69,0.186,0.408,0.506,0.345
,Michigan,Benzie,6.497,0.699,0.106,0.365,0.566,0.366
,Michigan,Berrien,3.265,0.708,0.216,0.513,0.375,0.363
,Michigan,Branch,4.145,0.662,0.133,0.373,0.414,0.417
,Michigan,Calhoun,2.384,0.742,0.25,0.384,0.425,0.385
,Michigan,Cass,2.771,0.723,0.187,0.363,0.358,0.426
,Michigan,Charlevoix,5.438,0.745,0.138,0.384,0.594,0.333
,Michigan,Cheboygan,10.002,0.686,0.095,0.447,0.561,0.446
,Michigan,Chippewa,9.257,0.762,0.098,0.49,0.48,0.381
,Michigan,Clare,8.214,0.839,0.082,0.368,0.427,0.401
,Michigan,Clinton,5.429,0.695,0.165,0.431,0.6,0.39
,Michigan,Crawford,6.001,0.567,0.133,0.344,0.442,0.66
,Michigan,Delta,10.163,0.735,0.105,0.445,0.603,0.44
,Michigan,Dickinson,6.106,0.682,0.203,0.418,0.691,0.546
,Michigan,Eaton,3.769,0.756,0.234,0.431,0.533,0.395
,Michigan,Emmet,8.298,0.706,0.141,0.41,0.649,0.523
,Michigan,Genesee,0.921,0.591,0.511,0.438,0.415,0.331
,Michigan,Gladwin,9.357,0.588,0.065,0.378,0.421,0.485
,Michigan,Gogebic,5.478,0.666,0.125,0.27,0.532,0.516
,Michigan,Grand Traverse,4.157,0.692,0.205,0.407,0.603,0.393
,Michigan,Gratiot,6.946,0.832,0.114,0.406,0.466,0.386
,Michigan,Hillsdale,5.464,0.753,0.084,0.311,0.441,0.37
,Michigan,Houghton,3.939,0.66,0.164,0.335,0.533,0.423
,Michigan,Huron,13.117,0.792,0.082,0.513,0.594,0.335
,Michigan,Ingham,1.908,0.669,0.328,0.442,0.48,0.332
,Michigan,Ionia,4.796,0.695,0.132,0.371,0.481,0.398
,Michigan,Iosco,5.399,0.7,0.131,0.349,0.497,0.45
,Michigan,Iron,5.873,0.701,0.169,0.33,0.653,0.51
,Michigan,Isabella,8.512,0.754,0.114,0.446,0.416,0.522
,Michigan,Jackson,3.626,0.685,0.161,0.367,0.484,0.376
,Michigan,Kalamazoo,1.547,0.659,0.41,0.423,0.473,0.369
,Michigan,Kalkaska,14.188,0.846,0.073,0.384,0.425,0.558
,Michigan,Kent,2.224,0.682,0.45,0.622,0.523,0.319
,Michigan,Keweenaw,1.809,0.824,0.222,0.311,0.279,0.451
,Michigan,Lake,7.407,0.708,0.109,0.341,0.444,0.553
,Michigan,Lapeer,5.369,0.707,0.136,0.383,0.513,0.407
,Michigan,Leelanau,3.669,0.77,0.243,0.384,0.622,0.371
,Michigan,Lenawee,4.896,0.758,0.168,0.424,0.497,0.398
,Michigan,Livingston,2.487,0.728,0.374,0.446,0.617,0.358
,Michigan,Luce,2.443,0.749,0.226,0.28,0.389,0.5
,Michigan,Mackinac,8.331,0.773,0.103,0.423,0.513,0.394
,Michigan,Macomb,1.179,0.674,0.587,0.52,0.501,0.267
,Michigan,Manistee,4.463,0.693,0.144,0.328,0.522,0.418
,Michigan,Marquette,4.201,0.613,0.276,0.609,0.593,0.448
,Michigan,Mason,5.944,0.782,0.13,0.347,0.52,0.424
,Michigan,Mecosta,8.961,0.671,0.07,0.398,0.431,0.417
,Michigan,Menominee,6.193,0.805,0.099,0.376,0.425,0.375
,Michigan,Midland,4.703,0.685,0.137,0.356,0.527,0.389
,Michigan,Missaukee,11.971,0.77,0.073,0.368,0.471,0.502
,Michigan,Monroe,1.382,0.665,0.361,0.455,0.488,0.235
,Michigan,Montcalm,8.655,0.786,0.086,0.432,0.434,0.382
,Michigan,Montmorency,8.142,0.7,0.092,0.365,0.414,0.524
,Michigan,Muskegon,2.383,0.631,0.194,0.356,0.43,0.382
,Michigan,Newaygo,11.919,0.728,0.075,0.417,0.445,0.501
,Michigan,Oakland,1.845,0.648,0.557,0.723,0.523,0.256
,Michigan,Oceana,13.909,0.677,0.046,0.39,0.511,0.368
,Michigan,Ogemaw,5.104,0.715,0.15,0.363,0.452,0.493
,Michigan,Ontonagon,2.868,0.658,0.237,0.27,0.582,0.476
,Michigan,Osceola,10.986,0.79,0.073,0.409,0.448,0.424
,Michigan,Oscoda,4.737,0.618,0.123,0.351,0.317,0.563
,Michigan,Otsego,8.667,0.714,0.11,0.379,0.562,0.499
,Michigan,Ottawa,4.399,0.732,0.247,0.584,0.588,0.314
,Michigan,Presque Isle,4.783,0.718,0.129,0.355,0.436,0.43
,Michigan,Roscommon,9.028,0.677,0.09,0.388,0.395,0.567
,Michigan,Saginaw,4.168,0.627,0.18,0.51,0.439,0.396
,Michigan,Sanilac,12.192,0.773,0.083,0.467,0.451,0.477
,Michigan,Schoolcraft,6.955,0.687,0.121,0.35,0.496,0.535
,Michigan,Shiawassee,5.805,0.739,0.12,0.373,0.515,0.38
,Michigan,St. Clair,5.042,0.692,0.188,0.541,0.48,0.403
,Michigan,St. Joseph,3.664,0.708,0.162,0.403,0.376,0.416
,Michigan,Tuscola,9.652,0.68,0.093,0.49,0.509,0.415
,Michigan,Van Buren,2.904,0.617,0.162,0.425,0.453,0.301
,Michigan,Washtenaw,2.234,0.708,0.405,0.546,0.477,0.36
,Michigan,Wayne,0.941,0.663,0.608,0.651,0.373,0.16
,Michigan,Wexford,7.379,0.705,0.135,0.414,0.565,0.486
,Minnesota,Minnesota,7.125,0.772,0.22,0.389,0.735,0.442
,Minnesota,Aitkin,9.811,0.798,0.126,0.352,0.696,0.508
,Minnesota,Anoka,1.08,0.7,0.655,0.358,0.673,0.299
,Minnesota,Becker,11.035,0.804,0.154,0.455,0.769,0.567
,Minnesota,Beltrami,8.976,0.711,0.172,0.515,0.654,0.616
,Minnesota,Benton,4.47,0.794,0.208,0.343,0.745,0.323
,Minnesota,Big Stone,8.121,0.835,0.096,0.187,0.649,0.472
,Minnesota,Blue Earth,4.504,0.737,0.285,0.462,0.743,0.427
,Minnesota,Brown,7.449,0.711,0.142,0.358,0.822,0.375
,Minnesota,Carlton,6.576,0.748,0.19,0.444,0.673,0.473
,Minnesota,Carver,2.275,0.736,0.48,0.429,0.688,0.403
,Minnesota,Cass,11.914,0.812,0.134,0.468,0.631,0.599
,Minnesota,Chippewa,6.123,0.873,0.207,0.273,0.815,0.456
,Minnesota,Chisago,5.958,0.756,0.201,0.421,0.724,0.421
,Minnesota,Clay,7.735,0.689,0.157,0.531,0.661,0.424
,Minnesota,Clearwater,8.179,0.862,0.14,0.238,0.622,0.601
,Minnesota,Cook,10.545,0.74,0.12,0.318,0.913,0.434
,Minnesota,Cottonwood,3.482,0.707,0.273,0.339,0.799,0.354
,Minnesota,Crow Wing,6.314,0.738,0.175,0.42,0.703,0.406
,Minnesota,Dakota,1.671,0.664,0.672,0.552,0.632,0.397
,Minnesota,Dodge,8.997,0.774,0.143,0.353,0.823,0.449
,Minnesota,Douglas,6.746,0.771,0.199,0.376,0.836,0.445
,Minnesota,Faribault,9.614,0.763,0.147,0.4,0.83,0.473
,Minnesota,Fillmore,13.448,0.864,0.131,0.362,0.832,0.588
,Minnesota,Freeborn,3.353,0.766,0.327,0.353,0.695,0.458
,Minnesota,Goodhue,7.162,0.695,0.169,0.424,0.753,0.46
,Minnesota,Grant,12.032,0.752,0.104,0.361,0.886,0.391
,Minnesota,Hennepin,1.475,0.665,0.748,0.692,0.607,0.254
,Minnesota,Houston,8.833,0.779,0.169,0.384,0.723,0.599
,Minnesota,Hubbard,8.164,0.766,0.12,0.298,0.729,0.427
,Minnesota,Isanti,5.363,0.755,0.16,0.347,0.672,0.363
,Minnesota,Itasca,16.343,0.745,0.106,0.534,0.692,0.63
,Minnesota,Jackson,8.388,0.758,0.185,0.442,0.826,0.508
,Minnesota,Kanabec,6.329,0.84,0.14,0.26,0.733,0.375
,Minnesota,Kandiyohi,6.682,0.782,0.204,0.462,0.739,0.429
,Minnesota,Kittson,7.94,0.751,0.136,0.386,0.724,0.402
,Minnesota,Koochiching,13.669,0.697,0.099,0.429,0.628,0.635
,Minnesota,Lac qui Parle,5.516,0.846,0.233,0.272,0.847,0.458
,Minnesota,Lake,10.333,0.645,0.121,0.359,0.699,0.653
,Minnesota,Lake of the Woods,8.091,0.701,0.162,0.249,0.848,0.628
,Minnesota,Le Sueur,4.655,0.834,0.241,0.317,0.754,0.415
,Minnesota,Lincoln,19.25,0.862,0.076,0.351,0.935,0.376
,Minnesota,Lyon,10.965,0.761,0.116,0.455,0.846,0.324
,Minnesota,Mahnomen,5.22,0.817,0.236,0.319,0.38,0.778
,Minnesota,Marshall,11.66,0.882,0.136,0.486,0.71,0.449
,Minnesota,Martin,9.469,0.802,0.144,0.392,0.765,0.469
,Minnesota,McLeod,6.964,0.756,0.177,0.373,0.788,0.441
,Minnesota,Meeker,5.382,0.869,0.229,0.334,0.776,0.409
,Minnesota,Mille Lacs,7.765,0.771,0.144,0.351,0.776,0.404
,Minnesota,Morrison,12.485,0.832,0.111,0.408,0.794,0.414
,Minnesota,Mower,10.109,0.755,0.117,0.457,0.64,0.446
,Minnesota,Murray,8.648,0.837,0.142,0.345,0.81,0.389
,Minnesota,Nicollet,3.893,0.721,0.232,0.341,0.682,0.407
,Minnesota,Nobles,5.5,0.809,0.231,0.46,0.681,0.41
,Minnesota,Norman,5.217,0.83,0.22,0.34,0.744,0.413
,Minnesota,Olmsted,2.727,0.688,0.423,0.505,0.667,0.414
,Minnesota,Otter Tail,7.984,0.827,0.195,0.562,0.754,0.366
,Minnesota,Pennington,8.151,0.739,0.129,0.348,0.738,0.427
,Minnesota,Pine,9.063,0.781,0.126,0.362,0.705,0.452
,Minnesota,Pipestone,13.755,0.689,0.078,0.391,0.786,0.396
,Minnesota,Polk,9.813,0.751,0.153,0.599,0.704,0.414
,Minnesota,Pope,6.228,0.843,0.176,0.273,0.791,0.414
,Minnesota,Ramsey,0.807,0.666,0.621,0.448,0.607,0.149
,Minnesota,Red Lake,5.106,0.769,0.152,0.313,0.597,0.407
,Minnesota,Redwood,9.59,0.852,0.144,0.351,0.825,0.431
,Minnesota,Renville,6.358,0.936,0.238,0.342,0.853,0.419
,Minnesota,Rice,3.25,0.706,0.303,0.392,0.692,0.404
,Minnesota,Rock,5.375,0.768,0.187,0.37,0.67,0.41
,Minnesota,Roseau,5.202,0.773,0.278,0.441,0.794,0.462
,Minnesota,Scott,2.059,0.729,0.504,0.421,0.666,0.404
,Minnesota,Sherburne,2.2,0.689,0.472,0.411,0.77,0.366
,Minnesota,Sibley,6.258,0.767,0.187,0.333,0.795,0.438
,Minnesota,St. Louis,10.592,0.671,0.165,0.861,0.607,0.453
,Minnesota,Stearns,5.04,0.774,0.314,0.587,0.746,0.412
,Minnesota,Steele,2.559,0.712,0.389,0.376,0.708,0.408
,Minnesota,Stevens,5.011,0.759,0.229,0.322,0.843,0.405
,Minnesota,Swift,5.064,0.766,0.213,0.31,0.783,0.426
,Minnesota,Todd,4.762,0.781,0.161,0.288,0.657,0.375
,Minnesota,Traverse,2.327,0.771,0.162,0.093,0.645,0.397
,Minnesota,Wabasha,9.016,0.751,0.154,0.32,0.792,0.584
,Minnesota,Wadena,4.373,0.811,0.215,0.279,0.726,0.401
,Minnesota,Waseca,6.83,0.766,0.152,0.315,0.746,0.429
,Minnesota,Washington,1.849,0.711,0.536,0.426,0.683,0.373
,Minnesota,Watonwan,4.507,0.831,0.231,0.341,0.69,0.401
,Minnesota,Wilkin,11.916,0.933,0.134,0.368,0.87,0.415
,Minnesota,Winona,9.077,0.764,0.149,0.398,0.628,0.598
,Minnesota,Wright,3.048,0.758,0.455,0.469,0.762,0.44
,Minnesota,Yellow Medicine,8.103,0.927,0.185,0.336,0.818,0.454
,Ohio,Ohio,3.446,0.651,0.246,0.421,0.514,0.352
,Ohio,Adams,3.033,0.598,0.129,0.365,0.387,0.375
,Ohio,Allen,2.404,0.65,0.271,0.405,0.554,0.339
,Ohio,Ashland,5.372,0.637,0.134,0.421,0.54,0.385
,Ohio,Ashtabula,2.435,0.613,0.22,0.427,0.466,0.335
,Ohio,Athens,2.194,0.577,0.193,0.436,0.388,0.329
,Ohio,Auglaize,5.451,0.645,0.143,0.431,0.583,0.373
,Ohio,Belmont,3.083,0.631,0.177,0.403,0.504,0.325
,Ohio,Brown,3.342,0.632,0.147,0.358,0.477,0.362
,Ohio,Butler,1.108,0.662,0.625,0.526,0.508,0.262
,Ohio,Carroll,4.409,0.627,0.115,0.354,0.549,0.319
,Ohio,Champaign,6.413,0.643,0.111,0.396,0.477,0.453
,Ohio,Clark,1.573,0.649,0.313,0.321,0.482,0.389
,Ohio,Clermont,1.358,0.631,0.346,0.352,0.524,0.317
,Ohio,Clinton,1.814,0.576,0.223,0.365,0.463,0.333
,Ohio,Columbiana,2.248,0.675,0.237,0.379,0.506,0.32
,Ohio,Coshocton,4.046,0.66,0.13,0.37,0.495,0.341
,Ohio,Crawford,4.891,0.703,0.163,0.357,0.554,0.443
,Ohio,Cuyahoga,1.704,0.627,0.502,0.71,0.49,0.207
,Ohio,Darke,5.336,0.687,0.171,0.413,0.591,0.432
,Ohio,Defiance,5.939,0.632,0.12,0.368,0.623,0.374
,Ohio,Delaware,2.277,0.691,0.418,0.457,0.522,0.461
,Ohio,Erie,2.58,0.664,0.228,0.413,0.507,0.321
,Ohio,Fairfield,2.505,0.661,0.33,0.457,0.517,0.413
,Ohio,Fayette,3.316,0.641,0.194,0.386,0.51,0.396
,Ohio,Franklin,1.276,0.635,0.662,0.671,0.463,0.256
,Ohio,Fulton,4.898,0.679,0.17,0.424,0.669,0.32
,Ohio,Gallia,1.81,0.574,0.17,0.372,0.351,0.347
,Ohio,Geauga,3.522,0.599,0.262,0.481,0.612,0.428
,Ohio,Greene,1.28,0.651,0.48,0.412,0.46,0.383
,Ohio,Guernsey,4.33,0.709,0.158,0.433,0.513,0.325
,Ohio,Hamilton,0.924,0.609,0.557,0.571,0.502,0.137
,Ohio,Hancock,3.282,0.673,0.249,0.455,0.545,0.379
,Ohio,Hardin,9.517,0.726,0.083,0.355,0.522,0.453
,Ohio,Harrison,4.509,0.664,0.09,0.349,0.477,0.303
,Ohio,Henry,8.193,0.774,0.116,0.393,0.641,0.376
,Ohio,Highland,4.425,0.673,0.114,0.292,0.552,0.36
,Ohio,Hocking,4.345,0.621,0.132,0.37,0.529,0.366
,Ohio,Holmes,5.595,0.65,0.123,0.395,0.656,0.293
,Ohio,Huron,6.24,0.673,0.141,0.447,0.539,0.43
,Ohio,Jackson,2.868,0.646,0.15,0.362,0.461,0.323
,Ohio,Jefferson,1.61,0.625,0.221,0.381,0.443,0.277
,Ohio,Knox,6.219,0.702,0.108,0.398,0.52,0.356
,Ohio,Lake,1.812,0.642,0.302,0.361,0.587,0.3
,Ohio,Lawrence,1.489,0.646,0.286,0.384,0.365,0.374
,Ohio,Licking,3.253,0.688,0.266,0.46,0.528,0.404
,Ohio,Logan,5.96,0.623,0.117,0.429,0.548,0.366
,Ohio,Lorain,1.291,0.649,0.519,0.498,0.492,0.3
,Ohio,Lucas,0.847,0.64,0.521,0.483,0.476,0.19
,Ohio,Madison,5.194,0.638,0.139,0.392,0.516,0.434
,Ohio,Mahoning,1.859,0.668,0.368,0.46,0.525,0.312
,Ohio,Marion,2.37,0.56,0.213,0.341,0.457,0.445
,Ohio,Medina,1.773,0.637,0.444,0.424,0.614,0.365
,Ohio,Meigs,1.163,0.612,0.204,0.334,0.351,0.328
,Ohio,Mercer,10.15,0.719,0.103,0.406,0.681,0.422
,Ohio,Miami,1.786,0.653,0.365,0.354,0.567,0.384
,Ohio,Monroe,3.722,0.692,0.123,0.342,0.475,0.333
,Ohio,Montgomery,0.996,0.608,0.666,0.544,0.479,0.284
,Ohio,Morgan,2.179,0.623,0.161,0.333,0.474,0.303
,Ohio,Morrow,5.43,0.612,0.094,0.337,0.481,0.402
,Ohio,Muskingum,2.505,0.674,0.212,0.389,0.492,0.318
,Ohio,Noble,2.78,0.588,0.125,0.334,0.476,0.311
,Ohio,Ottawa,2.432,0.645,0.225,0.375,0.579,0.289
,Ohio,Paulding,5.471,0.67,0.119,0.425,0.493,0.356
,Ohio,Perry,3.094,0.681,0.163,0.42,0.393,0.345
,Ohio,Pickaway,4.06,0.642,0.212,0.48,0.508,0.432
,Ohio,Pike,3.475,0.701,0.155,0.395,0.425,0.359
,Ohio,Portage,2.096,0.683,0.417,0.476,0.508,0.412
,Ohio,Preble,4.379,0.627,0.131,0.374,0.448,0.423
,Ohio,Putnam,6.349,0.757,0.159,0.423,0.723,0.318
,Ohio,Richland,3.475,0.626,0.231,0.489,0.567,0.351
,Ohio,Ross,3.538,0.591,0.167,0.443,0.432,0.394
,Ohio,Sandusky,3.326,0.562,0.188,0.438,0.573,0.332
,Ohio,Scioto,2.442,0.597,0.198,0.448,0.372,0.36
,Ohio,Seneca,4.981,0.778,0.18,0.397,0.565,0.401
